CuttingID,OrderID,FactoryID,StyleID,DateKey,CuttingDate,CutQty,FabricUsedKG,MarkerEfficiencyPct
1,1,3,35,20250529,2025-05-29,578,128.3,83.2
2,1,3,35,20250531,2025-05-31,541,138.87,85.1
3,1,3,35,20250601,2025-06-01,594,111.23,78.4
4,1,3,35,20250602,2025-06-02,658,179.36,87.7
5,1,3,35,20250603,2025-06-03,799,169.27,83.7
6,1,3,35,20250604,2025-06-04,503,111.38,84.9
7,1,3,35,20250605,2025-06-05,530,112.67,78.9
8,1,3,35,20250607,2025-06-07,574,151.05,80.5
9,1,3,35,20250608,2025-06-08,652,153.48,79.2
10,1,3,35,20250609,2025-06-09,563,128.6,83.3
11,1,3,35,20250610,2025-06-10,490,111.68,87.8
12,1,3,35,20250611,2025-06-11,389,91.98,78.9
13,1,3,35,20250612,2025-06-12,290,71.13,86.2
14,1,3,35,20250614,2025-06-14,394,91.73,83.5
15,1,3,35,20250615,2025-06-15,583,146.69,79.0
16,1,3,35,20250616,2025-06-16,403,97.19,80.5
17,1,3,35,20250617,2025-06-17,626,137.5,76.8
18,1,3,35,20250618,2025-06-18,460,120.84,88.3
19,1,3,35,20250619,2025-06-19,571,158.06,81.7
20,1,3,35,20250621,2025-06-21,396,96.59,83.7
21,1,3,35,20250622,2025-06-22,439,79.25,86.1
22,1,3,35,20250623,2025-06-23,647,146.26,81.3
23,1,3,35,20250624,2025-06-24,670,185.49,81.8
24,1,3,35,20250625,2025-06-25,584,158.78,82.1
25,1,3,35,20250626,2025-06-26,542,151.66,83.9
26,1,3,35,20250628,2025-06-28,372,83.22,84.4
27,1,3,35,20250629,2025-06-29,355,69.9,87.1
28,1,3,35,20250630,2025-06-30,627,145.72,84.1
29,1,3,35,20250701,2025-07-01,589,140.81,82.3
30,1,3,35,20250702,2025-07-02,464,124.58,79.1
31,1,3,35,20250703,2025-07-03,661,168.77,84.1
32,1,3,35,20250705,2025-07-05,402,107.79,90.3
33,2,1,47,20230401,2023-04-01,213,42.15,92.5
34,2,1,47,20230402,2023-04-02,452,97.77,85.3
35,2,1,47,20230403,2023-04-03,558,130.38,82.7
36,2,1,47,20230404,2023-04-04,20,5.0,88.7
37,2,1,47,20230405,2023-04-05,224,40.76,91.4
38,2,1,47,20230406,2023-04-06,441,112.97,92.9
39,2,1,47,20230408,2023-04-08,524,120.26,87.1
40,2,1,47,20230409,2023-04-09,514,143.51,87.3
41,2,1,47,20230410,2023-04-10,360,93.06,87.3
42,2,1,47,20230411,2023-04-11,495,106.24,93.6
43,2,1,47,20230412,2023-04-12,331,83.05,90.8
44,2,1,47,20230413,2023-04-13,383,98.03,88.1
45,2,1,47,20230415,2023-04-15,408,74.86,85.8
46,2,1,47,20230416,2023-04-16,459,109.91,85.8
47,2,1,47,20230417,2023-04-17,476,87.48,82.4
48,2,1,47,20230418,2023-04-18,344,87.82,87.2
49,2,1,47,20230419,2023-04-19,225,44.81,85.8
50,2,1,47,20230420,2023-04-20,371,92.04,90.4
51,2,1,47,20230422,2023-04-22,209,48.93,91.0
52,2,1,47,20230423,2023-04-23,668,127.23,88.3
53,2,1,47,20230424,2023-04-24,329,66.51,85.5
54,2,1,47,20230425,2023-04-25,376,89.27,83.2
55,2,1,47,20230426,2023-04-26,301,76.5,85.3
56,2,1,47,20230427,2023-04-27,392,105.36,87.9
57,2,1,47,20230429,2023-04-29,52,12.34,86.5
58,2,1,47,20230430,2023-04-30,294,54.78,88.0
59,2,1,47,20230501,2023-05-01,77,21.14,85.7
60,2,1,47,20230502,2023-05-02,497,96.58,87.8
61,2,1,47,20230503,2023-05-03,397,72.35,86.9
62,3,3,56,20231227,2023-12-27,195,36.91,89.1
63,3,3,56,20231228,2023-12-28,708,198.2,89.6
64,3,3,56,20231230,2023-12-30,993,178.95,88.9
65,3,3,56,20231231,2023-12-31,874,170.64,86.0
66,3,3,56,20240101,2024-01-01,817,217.33,91.3
67,3,3,56,20240102,2024-01-02,1289,243.6,90.9
68,3,3,56,20240103,2024-01-03,767,167.0,91.7
69,3,3,56,20240104,2024-01-04,703,178.74,91.5
70,3,3,56,20240106,2024-01-06,806,224.82,89.5
71,3,3,56,20240107,2024-01-07,1254,324.38,91.3
72,3,3,56,20240108,2024-01-08,566,157.96,89.3
73,3,3,56,20240109,2024-01-09,715,139.04,90.5
74,3,3,56,20240110,2024-01-10,569,148.88,91.6
75,3,3,56,20240111,2024-01-11,816,171.02,93.5
76,3,3,56,20240113,2024-01-13,279,54.1,89.6
77,3,3,56,20240114,2024-01-14,1396,280.73,90.8
78,3,3,56,20240115,2024-01-15,515,105.0,88.1
79,3,3,56,20240116,2024-01-16,892,230.45,87.4
80,3,3,56,20240117,2024-01-17,1070,241.78,92.8
81,3,3,56,20240118,2024-01-18,918,238.43,90.7
82,3,3,56,20240120,2024-01-20,920,169.43,89.4
83,3,3,56,20240121,2024-01-21,1023,241.71,88.1
84,3,3,56,20240122,2024-01-22,914,223.63,91.6
85,3,3,56,20240123,2024-01-23,626,145.85,85.8
86,3,3,56,20240124,2024-01-24,813,209.67,93.3
87,3,3,56,20240125,2024-01-25,604,158.48,88.7
88,3,3,56,20240127,2024-01-27,673,145.67,91.4
89,3,3,56,20240128,2024-01-28,960,198.9,87.7
90,3,3,56,20240129,2024-01-29,591,160.84,92.8
91,3,3,56,20240130,2024-01-30,667,153.82,88.7
92,3,3,56,20240131,2024-01-31,777,215.54,82.2
93,3,3,56,20240201,2024-02-01,722,157.9,88.7
94,3,3,56,20240203,2024-02-03,739,195.1,89.1
95,3,3,56,20240204,2024-02-04,902,163.55,91.5
96,3,3,56,20240205,2024-02-05,763,175.25,87.2
97,3,3,56,20240206,2024-02-06,1067,251.18,93.1
98,3,3,56,20240207,2024-02-07,843,154.07,95.3
99,3,3,56,20240208,2024-02-08,1159,285.27,89.6
100,3,3,56,20240210,2024-02-10,549,99.22,86.4
101,3,3,56,20240211,2024-02-11,906,221.79,88.5
102,3,3,56,20240212,2024-02-12,1014,215.01,87.3
103,3,3,56,20240213,2024-02-13,58,15.21,85.1
104,3,3,56,20240214,2024-02-14,756,172.4,91.4
105,3,3,56,20240215,2024-02-15,250,56.22,89.1
106,4,3,6,20220101,2022-01-01,2228,576.68,87.3
107,4,3,6,20220102,2022-01-02,1375,305.95,88.3
108,4,3,6,20220103,2022-01-03,2028,504.61,96.0
109,4,3,6,20220104,2022-01-04,1123,220.81,95.3
110,4,3,6,20220105,2022-01-05,1962,507.81,90.9
111,4,3,6,20220106,2022-01-06,2024,551.93,92.6
112,4,3,6,20220108,2022-01-08,865,175.55,90.1
113,4,3,6,20220109,2022-01-09,1137,316.96,89.9
114,4,3,6,20220110,2022-01-10,2037,561.94,86.2
115,4,3,6,20220111,2022-01-11,2200,400.68,87.3
116,4,3,6,20220112,2022-01-12,1848,333.54,88.6
117,4,3,6,20220113,2022-01-13,1442,328.89,86.8
118,4,3,6,20220115,2022-01-15,2091,553.25,88.4
119,4,3,6,20220116,2022-01-16,1972,498.86,89.4
120,4,3,6,20220117,2022-01-17,1970,502.39,84.7
121,4,3,6,20220118,2022-01-18,2662,531.88,92.4
122,4,3,6,20220119,2022-01-19,2191,465.6,92.5
123,4,3,6,20220120,2022-01-20,2072,536.44,87.3
124,5,2,67,20250709,2025-07-09,2263,558.03,77.5
125,5,2,67,20250710,2025-07-10,2155,471.24,85.0
126,5,2,67,20250712,2025-07-12,2081,464.0,77.9
127,5,2,67,20250713,2025-07-13,1955,494.79,86.1
128,5,2,67,20250714,2025-07-14,2764,740.2,82.2
129,5,2,67,20250715,2025-07-15,2020,471.86,80.4
130,5,2,67,20250716,2025-07-16,1700,445.05,77.5
131,5,2,67,20250717,2025-07-17,860,196.83,77.6
132,5,2,67,20250719,2025-07-19,2763,585.57,79.3
133,5,2,67,20250720,2025-07-20,2515,523.58,80.8
134,5,2,67,20250721,2025-07-21,1463,345.39,76.6
135,5,2,67,20250722,2025-07-22,2469,562.63,82.0
136,5,2,67,20250723,2025-07-23,1966,394.32,84.6
137,5,2,67,20250724,2025-07-24,2087,581.52,75.8
138,5,2,67,20250726,2025-07-26,2890,600.96,81.2
139,5,2,67,20250727,2025-07-27,2539,574.79,80.3
140,5,2,67,20250728,2025-07-28,1286,326.97,83.2
141,5,2,67,20250729,2025-07-29,2271,421.23,78.4
142,5,2,67,20250730,2025-07-30,1987,391.18,85.3
143,5,2,67,20250731,2025-07-31,1700,330.24,86.3
144,5,2,67,20250802,2025-08-02,2110,522.45,81.6
145,5,2,67,20250803,2025-08-03,2914,622.87,80.5
146,5,2,67,20250804,2025-08-04,3076,811.8,79.0
147,5,2,67,20250805,2025-08-05,2624,650.54,82.7
148,5,2,67,20250806,2025-08-06,3621,910.55,80.0
149,5,2,67,20250807,2025-08-07,1475,297.94,81.4
150,5,2,67,20250809,2025-08-09,2123,421.46,82.2
151,5,2,67,20250810,2025-08-10,1976,496.84,84.7
152,5,2,67,20250811,2025-08-11,1150,261.0,81.3
153,5,2,67,20250812,2025-08-12,1532,359.42,79.4
154,5,2,67,20250813,2025-08-13,2484,495.81,80.1
155,5,2,67,20250814,2025-08-14,2244,496.14,80.1
156,5,2,67,20250816,2025-08-16,3273,796.73,81.4
157,5,2,67,20250817,2025-08-17,2102,500.7,85.3
158,5,2,67,20250818,2025-08-18,1454,263.76,79.0
159,5,2,67,20250819,2025-08-19,1066,226.68,84.8
160,5,2,67,20250820,2025-08-20,2209,487.25,79.1
161,5,2,67,20250821,2025-08-21,1376,309.37,76.6
162,5,2,67,20250823,2025-08-23,1609,420.18,83.1
163,5,2,67,20250824,2025-08-24,2409,446.8,80.1
164,5,2,67,20250825,2025-08-25,1807,448.03,76.5
165,5,2,67,20250826,2025-08-26,2567,480.12,81.0
166,5,2,67,20250827,2025-08-27,2701,708.66,81.4
167,5,2,67,20250828,2025-08-28,1542,287.46,79.7
168,5,2,67,20250830,2025-08-30,3700,676.72,79.0
169,5,2,67,20250831,2025-08-31,1085,241.4,85.4
170,6,2,59,20250804,2025-08-04,2496,554.3,87.2
171,6,2,59,20250805,2025-08-05,2651,602.82,88.1
172,6,2,59,20250806,2025-08-06,1787,331.13,89.5
173,6,2,59,20250807,2025-08-07,1985,424.8,91.5
